Артикул;Наименование;Описание продукта;Категория;Цена;Акционная цена;Валюта;Акционный товар;На складе;В упаковке;Единица измерения;Гендер;Зодиак;Животинка;VIP тираж;Коллекция;Персонаж;Фотографии;Производитель;Страна;Родитель;Группа дочернего товара;Сопутствующие товары;SKU;КатегорияA;подкатА;КатегорияB;подкатВ;КатегорияС;подкатС;FOB;NEW_RTL_BASE;NEW_RTL_DISCOUNT;BARCODE;SPECS
#1073;Магнит собачка Мими;Фарфоровый магнит на холодильник с изображением собачки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Девочки;Рыбы;Собачки;;;Пудель Мими;"1073_1.jpg;1073_2.jpg;1073_3.jpg";Henry Cats and Friends;;;;;CMA-DO014;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 3.8 x H4.5 cm
#1074;Магнит собачка Коко;Фарфоровый магнит на холодильник с изображением собачки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Девочки;Рыбы;Собачки;;;Такса Коко;"1074_1.jpg;1074_2.jpg;1074_3.jpg";Henry Cats and Friends;;;;;CMA-DO015;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71531E+12; W5.3 x H3.6cm
#1075;Магнит собачка Лори;Фарфоровый магнит на холодильник с изображением собачки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Девочки;Водолей;Собачки;;;Такса Коко;"1075_1.jpg;1075_2.jpg;1075_3.jpg";Henry Cats and Friends;;;;;CMA-DO016;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 4.8 x L 3.4cm
#1076;Магнит панда Чин-Чин;Фарфоровый магнит на холодильник с изображением собачки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Мальчики;Телец;Друзья;;;Панда Чин-Чин;"1076_1.jpg;1076_2.jpg;1076_3.jpg";Henry Cats and Friends;;;;;CMA-PA001;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;#Н/Д
#1077;Магнит кролик Роби;Фарфоровый магнит на холодильник с изображением собачки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Мальчики;Козерог;Друзья;;;Кролик Роби;"1077_1.jpg;1077_2.jpg;1077_3.jpg";Henry Cats and Friends;;;;;CMA-RA001;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W3.4 x H4.4cm
#1078;Магнит крольчиха Руби;Фарфоровый магнит на холодильник с изображением собачки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Девочки;Рак;Друзья;;;Кольчиха Руби;"1078_1.jpg;1078_2.jpg;1078_3.jpg";Henry Cats and Friends;;;;;CMA-RA002;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71531E+12;W5.3 x 3.8cm
#1079;Магнит енот Поки;Фарфоровый магнит на холодильник с изображением собачки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Мальчики;Близнецы;Друзья;;;Енот Поки;"1079_1.jpg;1079_2.jpg;1079_3.jpg";Henry Cats and Friends;;;;;CMA-RC001;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71531E+12;W3.6 x H5.3cm
#1081;Набор магнитов «Приключения Симбы»;Набор из 4-х стеклянных магнитов с изображениями котёнка;"Henry Cats деткам;Хочу для дома:для холодильника;Хочу для дома:хобби";287;0;Рубли;0;5;1;шт.;Мальчики;Овен;Котики;;;Котенок Симба;"1081_1.jpg;1081_2.jpg;1081_3.jpg";Le Petit Henry;;;;;QMA1-CA002;Henry Cats деткам;;Хочу для дома:;для холодильника;Хочу для дома:;хобби;1.9;8.835;4.42;4.71531E+12;"3.1 x 1 cm     (Large)
2.5 x 0.8 cm  (Midium_a)
2.0 x 0.8 cm  (Midum_b)
1.8 x 0.8 cm  (Small)"
#1082;Набор магнитов «Злоключения Беллы»;Набор из 4-х стеклянных магнитов с изображениями кошки;"Henry Cats деткам;Хочу для дома:для холодильника;Хочу для дома:хобби";287;0;Рубли;0;5;1;шт.;Девочки;Водолей;Котики;;;Кошка Белла;"1082_1.jpg;1082_2.jpg;1082_3.jpg";Le Petit Henry;;;;;QMA1-CA011;Henry Cats деткам;;Хочу для дома:;для холодильника;Хочу для дома:;хобби;1.9;8.835;4.42;4.71531E+12;"3.1 x 1 cm     (Large)
2.5 x 0.8 cm  (Midium_a)
2.0 x 0.8 cm  (Midum_b)
1.8 x 0.8 cm  (Small)"
#1083;Набор магнитов «Le Petits»;Набор из 6-ти стеклянных магнитов c героями Le Petit Henry;"Henry Cats деткам;Хочу для дома:для холодильника;Хочу для дома:хобби";408;0;Рубли;0;5;1;шт.;;;Друзья;;;;"1083_1.jpg;1083_2.jpg;1083_3.jpg";Le Petit Henry;;;;;QMA2-01;Henry Cats деткам;;Хочу для дома:;для холодильника;Хочу для дома:;хобби;2.7;12.555;6.28;4.71531E+12;3.1 x 1 cm
